# RA DEC XI ETA F475W F814W V VERR
11.336 41.925 0.488 0.658 24.7 21.301 -171.949 1.655 
11.315 41.908 0.472 0.64 24.707 21.563 -76.144 2.127 
11.351 41.88 0.499 0.613 24.869 21.439 -101.314 2.372 
11.339 41.919 0.49 0.651 24.628 21.531 22.274 2.172 
11.312 41.927 0.47 0.66 24.725 21.438 -74.551 1.519 
11.295 41.918 0.457 0.65 24.891 21.523 -202.648 2.8 
11.374 41.873 0.516 0.606 25.447 23.382 -85.832 17.729 
11.323 41.888 0.478 0.621 25.129 22.27 -454.852 8.292 
11.37 41.874 0.513 0.607 24.409 21.238 48.635 2.248 
11.376 41.884 0.518 0.616 24.869 21.476 -61.831 1.899 
11.311 41.902 0.469 0.634 24.952 21.746 6.911 1.373 
11.314 41.896 0.471 0.629 25.008 21.566 -83.491 2.15 
11.298 41.876 0.459 0.608 23.876 21.286 -171.079 1.44 
11.299 41.876 0.46 0.608 24.248 21.962 -116.791 3.446 
11.292 41.891 0.454 0.623 23.976 21.721 -57.982 2.115 
11.239 41.908 0.415 0.64 23.133 20.685 -122.56 0.681 
11.223 41.923 0.403 0.655 23.505 20.924 -180.05 1.199 
11.245 41.895 0.42 0.627 23.772 21.344 -98.044 1.652 
11.246 41.895 0.42 0.627 25.407 22.294 -32.123 4.267 
11.293 41.873 0.456 0.605 24.092 21.939 -53.732 3.217 
11.213 41.884 0.395 0.616 23.656 21.019 -453.856 1.205 
11.224 41.892 0.404 0.624 23.921 21.21 -121.997 1.642 
11.352 41.919 0.5 0.651 23.532 20.903 -129.165 1.38 
11.334 41.879 0.486 0.612 23.664 21.023 -35.971 1.33 
11.4 41.902 0.535 0.635 23.721 21.281 -186.566 3.403 
11.357 41.939 0.503 0.672 23.975 21.243 -27.215 2.262 
11.348 41.925 0.497 0.658 24.029 21.428 -89.728 1.63 
11.354 41.937 0.501 0.67 24.335 21.055 -154.804 1.329 
11.378 41.915 0.519 0.648 24.053 21.92 -487.547 3.995 
11.331 41.916 0.484 0.649 23.775 20.816 -206.512 1.086 
11.363 41.898 0.508 0.63 23.465 20.985 -295.887 1.826 
11.358 41.901 0.504 0.634 23.615 20.95 -321.442 1.739 
11.478 41.892 0.593 0.626 25.469 23.494 -246.956 3.191 
11.266 41.883 0.435 0.615 24.715 22.277 -114.013 3.589 
11.257 41.887 0.429 0.619 24.216 21.235 -58.781 1.218 
11.254 41.898 0.426 0.63 25.207 22.07 -73.809 2.171 
11.279 41.905 0.445 0.637 24.69 22.247 -94.313 2.785 
11.278 41.905 0.444 0.637 24.558 21.644 -129.945 2.002 
11.271 41.924 0.439 0.656 25.289 22.893 -125.334 6.433 
11.261 41.933 0.431 0.665 23.781 21.355 -113.417 1.478 
11.421 41.877 0.551 0.61 24.832 21.411 -26.952 1.684 
11.432 41.881 0.56 0.614 25.256 22.204 -72.336 3.117 
11.29 41.896 0.453 0.629 23.912 22.049 -104.639 2.443 
11.482 41.872 0.597 0.605 24.213 21.154 -115.135 1.839 
11.456 41.898 0.578 0.632 23.072 21.066 -61.781 1.599 
11.457 41.898 0.578 0.632 23.923 22.117 -37.854 5.666 
11.463 41.913 0.583 0.647 24.41 21.512 -34.525 1.91 
11.465 41.913 0.584 0.647 24.173 21.755 -312.234 4.619 
